縦ホールドを、親指を下にして持つ持ち方は？,ガストン,オープン,リップ,バルジ,ガストン
手のひらで包み込むような持ち方は？,ラップ,リップ,スローパー,パーミンング,ラップ
強い傾斜から緩い傾斜へ移る角の部分は？,リップ,インカット,レイバッグ,ガストン,リップ
縦型のホールドを横から引くようにして持つ持ち方は？,サイドプル,ジャミング,インカット,デッド,サイドプル
手のひらの摩擦を使ってホールドを保持する持ち方は？,パーミング,スローパー,リップ,サイファー,パーミング
手のひら全体で摩擦を使って持つ丸みを帯びたホールドの名前は？,スローパー,クラック,ジャグ,ガストン,スローパー
割れ目に手を挟んで保持することを何という？,ジャミング,オープン,ガストン,ジャグ,ジャミング
ガバを小さくしたような指はかけらるホールドの名前は？,インカット,リップ,フラッシュ,マントル,インカット
割れ目のあるホールドを何という？,クラック,インカット,ラップ,バルジ,クラック
人差し指から小指を伸ばして、ぶら下がるようなイメージで持つ持ち方は？,オープン,オンサイト,ガストン,スローパー,オープン
